Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
bg,la,44.96,0.86538529,-0.799010895,6.36E-05,0.338757432,-0.251983894,0.411228647,0.049408809,0.845972432,0.548702184,0.053878439,0.250693731,0.7816,0.6162,0.6416,0.0521
bg,fr,69.07,-0.070944878,0.584585529,0.157657085,0.251315147,-0.251983894,0.350859753,-0.597421851,0.845972432,0.747583953,0.400393857,-0.090804983,0.4735,0.3333,0.4788,0.0927
bg,de,65.58,0.451514869,0.129072545,0.158165861,0.130052999,-0.251983894,0.267142114,0.416645311,0.845972432,0.383397707,0.136699067,0.026386171,0.5091,0.3333,0.5162,0.0566
bg,hi,29.01,1.050393749,-2.117708781,0.133045027,0.161022962,-0.251983894,0.28852333,-2.08567128,0.845972432,0.985738451,0.19748707,0.148433911,0.5376,0.2048,0.5418,0.2548
bg,ca,68.97,0.033484377,0.519686992,0.157211905,0.149517012,-0.251983894,0.280579787,-1.636763242,0.845972432,0.934072372,0.309924375,-0.065799513,0.4576,0,0.4681,0.0886
bg,it,71.8,-1.017235098,0.914000457,0.156766726,0.044203098,-0.251983894,0.207872579,-0.916818639,0.845972432,0.817902917,0.28033711,-0.341525719,0.5065,0.6162,0.5052,0.0502
bg,en,68.71,0.12954998,0.451078002,0.156703129,0.123949994,-0.251983894,0.262928686,-1.059034404,0.845972432,0.844955216,0.28033711,-0.141826457,0.4865,0.2804,0.521,0.1095
bg,fi,49.49,0.814306121,-0.613979125,0.156766726,0.034221368,-0.251983894,0.200981337,1.471043869,0.845972432,-0.695887377,0.590200479,-0.351997476,0.428,0.2804,0.4599,0.1189
bg,sl,72.22,-1.285047375,0.961078277,0.153586874,-0.462645896,-0.251983894,-0.142048663,0.939384218,0.845972432,0.02509854,-2.64109249,-0.236503566,0.4758,0.6162,0.4225,0.0435
bg,sk,69.19,-0.185334185,0.646154437,0.144238107,-0.427488318,-0.251983894,-0.117776378,1.152921784,0.845972432,-0.195735879,-1.448332833,0.188499389,0.6266,0.6162,0.6416,0.0376
bg,ro,73.02,-2.116948288,1.05003234,0.157021114,-0.534291076,-0.251983894,-0.191511463,0.163514759,0.845972432,0.502592055,0.243839465,-0.23942086,0.4571,0.2163,0.4946,0.0171
bg,hr,72.42,-1.630317449,1.006379146,0.155113203,-0.686027734,-0.251983894,-0.296268265,0.734470446,0.845972432,0.189088069,-1.448332833,0.547479127,0.5956,0.6162,0.4403,0.0342
bg,ar,41.71,0.961450893,-1.285703049,0.105443907,-0.835972599,-0.251983894,-0.399788039,-0.898723408,0.845972432,0.814287649,0.590200479,0.188499389,0.6266,0.6162,0.6416,1
bg,lv,65.34,0.520115216,0.032994838,0.153523277,-0.934988279,-0.251983894,-0.468147038,1.20895374,0.845972432,-0.265420995,-1.448332833,0.185586753,0.6932,0.2048,0.6416,0.0748
bg,he,40.84,1.006746054,-1.631016627,0.153777665,-1.096068136,-0.251983894,-0.57935425,-0.619437084,0.845972432,0.752908765,0.590200479,0.073546823,0.6143,0.6162,0.6063,0.081
bg,uk,68.13,0.218492836,0.378308417,0.310862376,-1.24989735,-0.251983894,-0.685555723,1.589955549,0.845972432,-0.984974451,-1.448332833,-0.23942086,0.4835,0.6162,0.4367,0.0268
bg,id,56.67,0.705123674,-0.312318741,0.156130756,-1.263853054,-0.251983894,-0.69519054,0.525274709,0.845972432,0.323533234,0.590200479,-0.044334517,0.4821,0.2804,0.4918,0.5066
bg,da,66.15,0.378754452,0.218026607,0.153396082,-1.287183995,-0.251983894,-0.711297885,0.592216931,0.845972432,0.283494411,0.136699067,0.018785068,0.7329,0.6162,0.6416,0.0853
bg,sv,64.11,0.646566728,-0.185851296,0.137624014,-1.32474757,-0.251983894,-0.737231236,0.487224407,0.845972432,0.345186332,0.136699067,-0.236503566,0.5382,0.6162,0.5343,0.0949
