Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ko,ar,6.64,1.092509625,-2.949714514,,-0.835972599,1.130137247,-1.372574989,-0.898723408,1.540972303,0.893426113,0.590200479,0.086859208,,,,1
ko,lv,16.21,-0.798416536,0.865000571,,-0.934988279,1.130137247,-1.440933987,1.20895374,1.540972303,0.171600272,0.590200479,0.41251319,,,,0.3666
ko,he,8.55,1.050393749,-2.117708781,,-1.096068136,1.130137247,-1.552141199,-0.619437084,1.540972303,0.846893719,0.590200479,0.307904792,,,,0.4099
ko,uk,15.16,0.12954998,0.451078002,,-1.24989735,1.130137247,-1.658342672,1.589955549,1.540972303,-0.180091338,0.590200479,0.279691672,,,,0.3932
ko,id,11.24,1.006746054,-1.631016627,,-1.263853054,1.130137247,-1.667977489,0.525274709,1.540972303,0.538721268,0.590200479,0.391334302,,,,0.2665
ko,da,13.52,0.760956035,-0.453697316,,-1.287183995,1.130137247,-1.684084834,0.592216931,1.540972303,0.511635538,0.590200479,0.253944134,,,,0.41
ko,sv,15.54,-0.185334185,0.646154437,,-1.32474757,1.130137247,-1.710018185,0.487224407,1.540972303,0.553492023,0.590200479,0.35411619,,,,0.374
ko,zh,16.68,-1.285047375,0.961078277,,-1.411973294,1.130137247,-1.770237569,0.307574441,1.540972303,0.617710418,0.590200479,0.086859208,,,,1
et,cs,47.94,-1.017235098,0.914000457,,2.821498253,0.899421764,1.314876103,-1.157382288,0.29540105,0.793971271,0.590200479,0.036370543,,,,0.0591
et,ru,46.5,-0.453146461,0.760558157,,1.873754059,0.899421764,0.660567168,-0.499150064,0.29540105,0.617623589,0.590200479,0.023676003,,,,0.1505
et,no,51.58,-1.630317449,1.006379146,,1.241510192,0.899421764,0.224075113,-0.840558589,0.29540105,0.718846338,0.590200479,0.235742481,,,,0.0359
et,es,40.93,0.451514869,0.129072545,,1.136962251,0.899421764,0.151896721,-1.487610089,0.29540105,0.857760743,0.590200479,0.042275189,,,,0.1347
et,ko,16.7,1.092509625,-2.949714514,,1.089662201,0.899421764,0.119241448,1.411236708,0.29540105,-1.676763314,0.590200479,0.216361108,,,,0.3622
et,pl,42.9,0.301296653,0.300840858,,0.703254081,0.899421764,-0.14752915,0.801097958,0.29540105,-0.201578863,0.590200479,-0.091684996,,,,0.0447
et,nl,44.48,0.033484377,0.519686992,,0.504323909,0.899421764,-0.284867674,-0.337975443,0.29540105,0.560409945,0.590200479,0.183885046,,,,0.0693
et,pt,40.02,0.760956035,-0.453697316,,0.525078257,0.899421764,-0.270539171,-1.07504565,0.29540105,0.775909236,0.590200479,-0.058322747,,,,0.1341
et,la,28.26,0.961450893,-1.285703049,,0.338757432,0.899421764,-0.399172384,0.049408809,0.29540105,0.388893012,0.590200479,0.445858327,,,,0.1043
et,fr,40.64,0.585005577,-0.071447576,,0.251315147,0.899421764,-0.459541278,-0.597421851,0.29540105,0.64930494,0.590200479,0.141440176,,,,0.093
et,de,46.6,-0.613408078,0.813914965,,0.130052999,0.899421764,-0.543258917,0.416645311,0.29540105,0.160774635,0.590200479,0.18825689,,,,0.0691
et,hi,32.07,0.86538529,-0.799010895,,0.161022962,0.899421764,-0.521877701,-2.08567128,0.29540105,0.945754323,0.590200479,0.125075208,,,,0.2818
et,ca,40.56,0.646566728,-0.185851296,,0.149517012,0.899421764,-0.529821243,-1.636763242,0.29540105,0.882643504,0.590200479,0.173143227,,,,0.1185
et,it,41.28,0.378754452,0.218026607,,0.044203098,0.899421764,-0.602528452,-0.916818639,0.29540105,0.738381718,0.590200479,0.048156199,,,,0.098
