Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
lo,sv,6,-1.432728774,0.917845425,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.350992125,-0.600957589,-1.628125965,0.5184,0.550413869
lo,ta,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,1.202052209,0.09703258,-1.628125965,0.5124,-0.717020382
lo,te,5,-0.47589031,0.734235025,0,0.233081326,-1.076338242,0.979397633,0.276828836,1.080785469,0.144808459,0.624956681,0.5309,-0.755043859
lo,tg,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.762493148,1.012172596,-1.628125965,0.6643,-0.22531696
lo,tl,6,-1.432728774,0.917845425,0.007677543,0.632419405,-1.076338242,1.223009824,0.276828836,-0.455370903,-0.687018722,0.602855577,0.4297,-1.224051984
lo,th,28,-3.191754579,1.011313742,0,0.632419405,-1.076338242,1.223009824,-13.21774431,-2.477822393,-1.670708585,0.591554152,0.3924,-2.855424369
lo,ti,2,1.147552874,-3.717740242,0.001919386,-3.121373949,-1.076338242,-1.066954172,0.276828836,0.875795326,-0.188722586,-1.628125965,0.4997,0.346156314
lo,tk,5,-0.47589031,0.734235025,0.001919386,-1.052059778,-1.076338242,0.195410189,0.276828836,0.77905947,1.738308307,0.713086254,0.6643,-0.046790691
lo,tr,5,-0.47589031,0.734235025,0.001919386,0.632419405,-1.076338242,1.223009824,0.276828836,0.814930809,0.281679274,0.602855577,0.5319,0.400455848
lo,uk,5,-0.47589031,0.734235025,0,0.632419405,-1.076338242,1.223009824,0.276828836,-1.083661913,-1.12833281,-1.628125965,0.466,0.499435463
lo,ug,4,0.596101316,-0.03596899,0,-1.04197607,-1.076338242,0.201561654,0.276828836,1.104989708,1.912668247,0.682477255,0.6643,-0.358216683
lo,uz,3,1.016241847,-1.399947409,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
lo,vi,7,-2.4341834,0.988625249,0,0.632419405,-1.076338242,1.223009824,0.276828836,-2.182867256,-1.189152665,0.579980434,0.4574,-3.213063059
lo,xh,4,0.596101316,-0.03596899,0.007677543,-2.349673015,-1.076338242,-0.596185755,0.276828836,-0.143836739,-1.322486738,-1.628125965,0.3824,0.732172354
lo,yo,5,-0.47589031,0.734235025,0.011516315,0.379281215,-1.076338242,1.068585409,0.276828836,-2.348977322,-1.561705689,0.602855577,0.3914,0.875710264
lo,zu,4,0.596101316,-0.03596899,0,-1.764244316,-1.076338242,-0.239050847,0.276828836,-0.408072783,-0.34024158,0.568066156,0.4837,0.665784006
mr,am,24,-1.233461489,0.893285588,0.0005,-0.611235909,0.72985533,-0.94058207,0.276828836,-0.922642578,-0.676654961,0.591554152,0.466,-0.303019818
mr,ar,11,0.812313812,-0.492154851,0,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,0.196949161,-1.628125965,0.6284,1.590962734
mr,az,14,0.561401761,0.016977944,0.0001,0.632419405,0.72985533,-0.181902616,0.276828836,-0.243541376,0.196949161,-1.628125965,0.6284,1.590962734
mr,bn,37,-1.991032668,0.965496175,0.0002,0.632419405,0.72985533,-0.181902616,-2.368088113,-1.890436127,-1.652573652,0.61394371,0.3908,-1.446596085
mr,ca,16,0.281680869,0.333459614,0,0.632419405,0.72985533,-0.181902616,-0.259467152,0.658736071,-0.245686682,0.61394371,0.4488,0.399808435
