Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
ces,ita,9.6,161101,0.096889563,0.001185996,0.055501214,0.001149781,264571,6207,178394,6383,16.94989479,19.95168248,2730645,5233578,3214236,5551490,0,0.8571,0.4371,0.55,0.0002,0.5
ces,jpn,4.1,105593,0.117573394,0.002238652,0.348988388,0.001893678,159699,5728,204540,5207,12.86346633,5.550500507,1358292,2558683,586094,2749675,0.4,1,0.5773,0.72,0.6162,0.7
ces,kor,5.5,53009,0.154918891,0.003873667,0.044305399,0.001921975,110255,5426,29768,3010,13.42592767,12.67486653,711695,1400740,671882,1566097,0.4,1,0.6216,0.71,0.641,0.7
ces,mkd,5,51965,0.144929842,0.003518585,0.113536313,0.003719987,113845,5483,98598,5626,15.11628981,16.71176754,785518,1558297,868427,1512371,0.1,0.5714,0.315,0.72,0.0002,0.5
ces,nob,6.3,,,,,,,,,,,,,,,,0.1,1,0.6169,0.52,0.5922,0.6
ces,nld,7.6,139344,0.108287747,0.001533391,0.077398631,0.001642006,218542,5957,175124,6017,14.48329315,16.23768515,2018160,3884853,2262624,3664420,0,0.8571,0.4427,0.51,0.0002,0.5
ces,pol,8.1,176644,0.096416102,0.001211835,0.096031677,0.001234164,252930,6217,252958,6345,14.85086955,14.91196984,2623317,5130238,2634110,5141134,0,0.4286,0.4653,0.5,0.6162,0.5
ces,por,10.8,153498,0.097164716,0.001235274,0.055074261,0.001274432,251359,6177,167779,6218,16.85322936,19.84660386,2586937,5000509,3046414,4879037,0.1,0.9333,0.4431,0.57,0.0002,0.5
ces,por,12.1,,,,,,,,,,,,,,,,0.1,0.9333,0.4431,0.57,0.0002,0.5
ces,ron,6.3,82650,0.123100782,0.002173033,0.08182172,0.002123242,162171,5700,126977,5737,15.93931034,18.77645493,1317384,2623062,1551874,2702000,0,0.8889,0.4494,0.55,0.641,0.5
ces,rus,9.4,186997,0.093736811,0.001127891,0.099181648,0.001139067,262075,6153,283746,6491,14.95136286,15.29902619,2795860,5455316,2860872,5698521,0.2,0.4,0.4034,0.54,0.6162,0.5
ces,slk,28.1,474501,0.054713727,0.000440691,0.05800807,0.000447087,514098,8176,545718,8135,19.80215637,19.8263481,9396143,18552672,9407622,18195577,0,0.2857,0.6784,0.66,0.0002,0.7
ces,slv,6.7,64723,0.139143126,0.003135601,0.132622742,0.003046525,129375,5572,130198,5608,14.36580505,15.16797738,929798,1777012,981717,1840786,0,0.5714,0.4204,0.43,0.0002,0.4
ces,srp,1.6,63977,0.13968604,0.002908294,0.15475797,0.00292146,133030,5508,151251,5588,14.88581834,15.27641184,952350,1893894,977339,1912742,0,0.5714,0.6784,0.48,0.8278,0.7
ces,swe,7,97411,0.120247672,0.001991106,0.106638758,0.002093616,177231,5777,165064,5725,15.1305602,15.89019721,1473883,2901403,1547880,2734503,0.1,0.8571,0.573,0.57,0.0002,0.6
ces,tur,2.6,75298,0.134897518,0.002745779,0.130285928,0.002963026,143201,5620,136083,5681,14.09803713,13.87148397,1061554,2046778,1044495,1917297,0.1,1,0.4197,0.6,0.5922,0.5
ces,ukr,7.8,104982,0.118296114,0.001875794,0.122201589,0.001904593,181605,5675,188603,5771,14.62320207,14.70133928,1535173,3025385,1543376,3030043,0,0.5714,0.3804,0.46,0.0002,0.4
